date,mode_line,ridership,mode
28/7/2020,lrt ampang,123520,LRT
29/7/2020,lrt ampang,123754,LRT
30/7/2020,lrt ampang,109217,LRT
31/7/2020,lrt ampang,54012,LRT
1/8/2020,lrt ampang,61187,LRT
2/8/2020,lrt ampang,58237,LRT
3/8/2020,lrt ampang,110211,LRT
4/8/2020,lrt ampang,118794,LRT
5/8/2020,lrt ampang,123331,LRT
6/8/2020,lrt ampang,123243,LRT
7/8/2020,lrt ampang,126595,LRT
8/8/2020,lrt ampang,77945,LRT
9/8/2020,lrt ampang,64446,LRT
10/8/2020,lrt ampang,124017,LRT
11/8/2020,lrt ampang,124860,LRT
12/8/2020,lrt ampang,126395,LRT
13/8/2020,lrt ampang,126375,LRT
14/8/2020,lrt ampang,129716,LRT
15/8/2020,lrt ampang,77410,LRT
16/8/2020,lrt ampang,62279,LRT
17/8/2020,lrt ampang,126989,LRT
18/8/2020,lrt ampang,127413,LRT
19/8/2020,lrt ampang,131501,LRT
20/8/2020,lrt ampang,69219,LRT
21/8/2020,lrt ampang,117965,LRT
22/8/2020,lrt ampang,77750,LRT
23/8/2020,lrt ampang,63348,LRT
24/8/2020,lrt ampang,123572,LRT
25/8/2020,lrt ampang,129303,LRT
26/8/2020,lrt ampang,130181,LRT
27/8/2020,lrt ampang,129095,LRT
28/8/2020,lrt ampang,135002,LRT
29/8/2020,lrt ampang,83422,LRT
30/8/2020,lrt ampang,73928,LRT
31/8/2020,lrt ampang,74161,LRT
1/9/2020,lrt ampang,128470,LRT
2/9/2020,lrt ampang,132587,LRT
3/9/2020,lrt ampang,133597,LRT
4/9/2020,lrt ampang,137896,LRT
5/9/2020,lrt ampang,83979,LRT
6/9/2020,lrt ampang,69308,LRT
7/9/2020,lrt ampang,132582,LRT
8/9/2020,lrt ampang,136666,LRT
9/9/2020,lrt ampang,136409,LRT
10/9/2020,lrt ampang,138544,LRT
11/9/2020,lrt ampang,142576,LRT
12/9/2020,lrt ampang,86100,LRT
13/9/2020,lrt ampang,69505,LRT
14/9/2020,lrt ampang,133324,LRT
15/9/2020,lrt ampang,137106,LRT
16/9/2020,lrt ampang,72910,LRT
17/9/2020,lrt ampang,134286,LRT
18/9/2020,lrt ampang,137233,LRT
19/9/2020,lrt ampang,83328,LRT
20/9/2020,lrt ampang,65541,LRT
21/9/2020,lrt ampang,136657,LRT
22/9/2020,lrt ampang,138015,LRT
23/9/2020,lrt ampang,139484,LRT
24/9/2020,lrt ampang,140023,LRT
25/9/2020,lrt ampang,142864,LRT
26/9/2020,lrt ampang,86709,LRT
27/9/2020,lrt ampang,71073,LRT
28/9/2020,lrt ampang,134038,LRT
29/9/2020,lrt ampang,134811,LRT
30/9/2020,lrt ampang,133629,LRT
1/10/2020,lrt ampang,134807,LRT
2/10/2020,lrt ampang,134136,LRT
3/10/2020,lrt ampang,74818,LRT
4/10/2020,lrt ampang,62558,LRT
5/10/2020,lrt ampang,128313,LRT
6/10/2020,lrt ampang,126062,LRT
7/10/2020,lrt ampang,122811,LRT
8/10/2020,lrt ampang,123282,LRT
9/10/2020,lrt ampang,123751,LRT
10/10/2020,lrt ampang,71068,LRT
11/10/2020,lrt ampang,57481,LRT
12/10/2020,lrt ampang,115239,LRT
13/10/2020,lrt ampang,118663,LRT
14/10/2020,lrt ampang,81699,LRT
15/10/2020,lrt ampang,83391,LRT
16/10/2020,lrt ampang,83786,LRT
17/10/2020,lrt ampang,49386,LRT
18/10/2020,lrt ampang,36586,LRT
19/10/2020,lrt ampang,81524,LRT
20/10/2020,lrt ampang,82593,LRT
21/10/2020,lrt ampang,83490,LRT
22/10/2020,lrt ampang,67202,LRT
